position,skills
Software Engineer,"Java, Python, C++, Git, Agile, Docker, Linux, Microservices, REST APIs, GraphQL, TypeScript"
Data Scientist,"Python, R, SQL, Machine Learning, Deep Learning, TensorFlow, Pandas, Big Data, Apache Spark, Data Visualization"
UX/UI Designer,"Figma, Adobe XD, Wireframing, Prototyping, Usability Testing, Sketch, Interaction Design, User Research, Accessibility"
Product Manager,"Agile, Jira, Product Lifecycle, Market Research, User Stories, Roadmapping, Stakeholder Management, A/B Testing, OKRs"
Network Engineer,"Cisco, TCP/IP, DNS, Firewalls, VPN, Network Protocols, SDN, Network Automation, CCNA, Cybersecurity"
Digital Marketing Specialist,"Google Analytics, SEO, SEM, Google Ads, Content Strategy, Social Media Marketing, PPC, Email Marketing, Marketing Automation"
Financial Analyst,"Excel, Financial Modeling, Forecasting, Power BI, Data Analysis, Financial Reporting, Business Intelligence, Risk Analysis, Tableau"
Content Writer,"SEO Writing, WordPress, Editing, Content Management, Storytelling, Copywriting, Blogging, Technical Writing, Creative Writing"
Graphic Designer,"Adobe Photoshop, Illustrator, Typography, Layout Design, Branding, Adobe InDesign, Motion Graphics, UI Elements, Color Theory"
Sales Representative,"CRM, Negotiation, Lead Generation, Cold Calling, Customer Relationship Management, Sales Strategies, Digital Sales, B2B Sales"
IT Support Specialist,"Windows, Troubleshooting, Ticketing Systems, Hardware Support, Active Directory, Remote Support, Cybersecurity Awareness, ITIL"
Data Analyst,"SQL, Excel, Tableau, Power BI, Statistics, Python, Data Cleaning, Data Mining, Predictive Analytics, Data Warehousing"
Systems Administrator,"Linux, Windows Server, Virtualization, Security Patches, Backup Management, Cloud Infrastructure, Automation, Scripting"
Customer Support Specialist,"Zendesk, Troubleshooting, Communication, CRM Systems, Ticket Management, Customer Service Skills, Live Chat Support, Knowledge Base"
Supply Chain Manager,"SAP, Logistics Management, Procurement, Inventory Control, Vendor Management, Supply Chain Optimization, Demand Planning, JIT"
Quality Assurance Engineer,"Selenium, Jira, Test Automation, Test Cases, Bug Tracking, Manual Testing, Performance Testing, CI/CD, API Testing"
DevOps Engineer,"Docker, Kubernetes, Jenkins, CI/CD Pipelines, AWS, Azure, Infrastructure as Code, Monitoring, Agile, GitOps"
UI/UX Developer,"HTML, CSS, JavaScript, Bootstrap, Responsive Design, User Interface Development, React, Vue.js, Figma"
Technical Writer,"Technical Documentation, Content Management, Confluence, Markdown, Editing, API Documentation, User Manuals, Style Guides"
Cybersecurity Analyst,"Firewall, Encryption, SIEM, Vulnerability Assessment, Threat Analysis, Incident Response, Security Auditing, Penetration Testing"
