position,skills
Media Planning Executive/Manager,"Media Planning,Digital Media"
Sales Executive/Officer,"pre sales,closing,software knowledge,clients,requirements,negotiating,client,online bidding,good communication,technology"
R&D Executive,"Computer science,Fabrication,Quality check,Intellectual property,Electronics,Support services,Research,Management,Human resource management,Research Executive"
Technical Support Engineer,Technical Support
Testing Engineer,"manual testing,test engineering,test cases,web testing,web technologies"
System Analyst,"adobe experience manager,digital,digital marketing,adobe analytics,data analytics,aem,adobe,sitecatalyst"
Sales Executive/Officer,"channel partners,real estate,negotiation,property,Residential Sales"
Technical Architect,"TFS,Azure,Git,VSTS,Docker,DynaTrace,Splunk,AWS"
Sales Executive/Officer,Bde
Associate/Senior Associate -(Technical),"technical support,support services,application support,communication skills,voice based process,semi voice,semi voice process"
Corporate Planning/Strategy Manager,"secretary,executive assistant,ea"
Webmaster,"website,web analytics,xml,link building,google analytics,case studies,seo,social media,tracking,maintaining"
Process Flow Analyst,"operations,workflow,tat,monitoring,mts,email"
Software Developer,"Oracle IDAM,OIM,OAM"
Social Media Marketing Manager,"digital marketing,seo,social media marketing,content marketing,email marketing,sem,google analytics,campaign management,facebook,media management"
Senior Design Engineer,"Help Desk,Customer Service,customer relationship,access controls,Asset Management,Vendor Management"
Accounts Manager,"Report Generation,Policies,analytical,procedures,Analysts,Data Entry,analytical skills"
Software Developer,"Copyright,Email,jQuery,XML,Javascript,CakePHP,Customer service,Open source,Facebook,CSS3"
Software Developer,"C#,MS Dynamics CRM,Microsoft Dynamics,ms dynamics"
Sales Officer,"sales manager,business development manager,relationship manager,brokers,insurance sales,channel sales,direct sale,direct marketing,sales,Marketing Executive,Territory Sales Manager"
Sales/Business Development Manager,"lead generation,business development,corporate sales"
Sales/Business Development Manager,"contract management,closing,it services,relationship building,managed services,selling,market research,business development manager,sales"
Quality Assurance/Quality Control Executive,QA Executive
Software Developer,"Java EE,JMS,Core Java,JUnit,Weblogic,HTML,JPA,JSON,SOAP,SQL"
Software Developer,"Conceptualization,Architecting,Continuous improvement,SIDE,development,Front end,it"
Graphic/Web Designer,Articulate Storyline
Area Sales Manager,"Area Sales Management,Retail Sales,FMCG,Chocolate,confectionary,ASM,Area Sales Manager,area business manager"
Software Developer,"C#,Java,OOP,C++,Multithreading,UML,OOAD,OOPS,.Net,debugging"
System Administrator,"qmail,workflow,nagios,windows server,networking,mysql,monitoring,redhat,maintaining,centos"
Project Manager-IT/Software,"Java,JPA,Hibernate,Project Management,JDBC,Scrum Master,Microservices,Agile,SOAP,Rest"
Software Developer,"Java,java api,Banking,j2ee,API,finance,core java,microservices"
Project Lead,"GIS,ISO 27001,HR,information system,process,ISO 9001,Information security management,GIS software,Management,Edge"
Logistics Executive,"Administration,Administrative Support,Contract Logistics,Staff Development,Site Management,Quality Improvement,warehousing,Warehouse Operations"
Accounts Executive/Accountant,"filing,tds,service industry,pf,esi,returns,coaching,payroll,invoice,tally"
Associate/Senior Associate -(NonTechnical),"Outbound,Antivirus,Technical support,Sales,Spot,Inbound calls,pay,Medical,Comp"
Technical Support Manager,"Troubleshooting,DNS,DHCP,Monitoring,Virtualization,Shell scripting,Python,VMS,Open source,Archiving"
Technical Architect,"4G,3GPP,3G,System Architect,LTE,Radio Access Network,PhD,IEEE"
Software Developer,"arm processor,c,device drivers,embedded linux,linux kernel,ipc"
Sales/Business Development Manager,"market,presentation,strong analytical skills,english,presentation skills,developing,customer interaction"
Associate/Senior Associate -(NonTechnical),"fixed assets,accounts payable,record to report,general accounting,general ledger"
Regional Manager,"Team management,Regional sales,Management"
Head / VP/ GM/ National Manager After Sales,"Commercial Activities,Commercial Sales,Online Sales,Senior Management,Budgeting,Strategy Implementation,Marketing,E - commerce"
Software Developer,"ODI,Matrix"
Software Developer,"javascript,sql,php,php mysql,css,software development,technical,photoshop,mca,ajax,jquery,application,web,design,mysql,html"
Associate/Senior Associate -(NonTechnical),"Relationship management,Relationship building,Client relationship,Training,Analytical skills,Process mapping,Standard operating procedures,Agile,Management,Visa processing"
Software Developer,"android,btech,iphone,server,analytical,developing,ios,platforms,objective c,web,xml,design,json,programming,development,c,testing,mobile,xcode,application development,eclipse,application,sdk,applications"
Associate/Senior Associate -(NonTechnical),"cca,bpo,csr,international bpo,customer service,outbound process,customer care,tourism,customer support,fresher,voice process,inbound process,cse,bpo fresher,voice support,hotel,travel"
Software Developer,"bca,graphics,application development,b tech,core,b sc,application,b e,ios,publishing,animation"
